experiment_id,row_id,input_text,target_formula,target_reduced_formula,target_family,target_space_group_symbol,target_space_group_number,target_crystal_system,expected_mode,expected_validation_tier,source_db_scope,retrieval_query_hint,spp_required,qlip_scaffold_hint,should_generate,expected_blocker_if_any,paper_task,notes
paper_experiment_2_hard_v3,exp2v3_li6ps5cl_argyrodite,Generate an argyrodite-like lithium thiophosphate chloride candidate with formula Li6PS5Cl using retrieved sulfide-halide evidence.,Li6PS5Cl,Li6PS5Cl,argyrodite,F-43m,216,cubic,prototype_orbit_qlip,fixed_orbit_spp_smoke,general_phase6_mp_10k,argyrodite lithium thiophosphate chloride Li6PS5Cl sulfide halide evidence,true,argyrodite,true,,Experiment 2 harder specific intent v3,Supported fixed-orbit hard solid-electrolyte target.
paper_experiment_2_hard_v3,exp2v3_lifepo4_olivine,Generate an olivine phosphate candidate for LiFePO4 using retrieved lithium iron phosphate evidence.,LiFePO4,LiFePO4,olivine phosphate,Pnma,62,orthorhombic,prototype_orbit_qlip,fixed_orbit_spp_smoke,general_phase6_mp_10k,olivine phosphate LiFePO4 lithium iron phosphate evidence,true,olivine_phosphate,true,,Experiment 2 harder specific intent v3,Supported fixed-orbit hard phosphate target.
paper_experiment_2_hard_v3,exp2v3_licoo2_layered,Generate a layered lithium cobalt oxide candidate compatible with the requested R-3m prototype.,LiCoO2,LiCoO2,layered oxide,R-3m,166,trigonal,prototype_orbit_qlip,fixed_orbit_spp_smoke,general_phase6_mp_10k,layered lithium cobalt oxide LiCoO2 cathode evidence,true,layered_oxide,true,,Experiment 2 harder specific intent v3,Supported fixed-orbit layered oxide target.
paper_experiment_2_hard_v3,exp2v3_cspbcl3_halide,Generate a cubic halide perovskite prototype candidate for CsPbCl3 using retrieved chloride perovskite evidence.,CsPbCl3,CsPbCl3,halide perovskite,Pm-3m,221,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,general_phase6_mp_10k,CsPbCl3 cesium lead chloride halide perovskite evidence,true,halide_perovskite,true,,Experiment 2 harder specific intent v3,Supported ideal cubic halide-perovskite scaffold.
paper_experiment_2_hard_v3,exp2v3_cssnbr3_halide,Generate a cesium tin bromide halide perovskite prototype with formula CsSnBr3 using retrieved bromide evidence.,CsSnBr3,CsSnBr3,halide perovskite,Pm-3m,221,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,general_phase6_mp_10k,CsSnBr3 cesium tin bromide halide perovskite evidence,true,halide_perovskite,true,,Experiment 2 harder specific intent v3,Supported ideal cubic halide-perovskite scaffold.
paper_experiment_2_hard_v3,exp2v3_cspbi3_halide,Generate an iodide halide perovskite prototype candidate for CsPbI3 and preserve an explicit retrieval trace.,CsPbI3,CsPbI3,halide perovskite,Pm-3m,221,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,general_phase6_mp_10k,CsPbI3 cesium lead iodide halide perovskite evidence,true,halide_perovskite,true,,Experiment 2 harder specific intent v3,Generated as supported ideal cubic prototype rather than source-faithful lower-symmetry Wyckoff reproduction.
paper_experiment_2_hard_v3,exp2v3_cssni3_halide,Generate a cesium tin iodide halide perovskite prototype with formula CsSnI3 using retrieved iodide evidence.,CsSnI3,CsSnI3,halide perovskite,Pm-3m,221,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,general_phase6_mp_10k,CsSnI3 cesium tin iodide halide perovskite evidence,true,halide_perovskite,true,,Experiment 2 harder specific intent v3,Supported ideal cubic halide-perovskite scaffold.
paper_experiment_2_hard_v3,exp2v3_cspbbr3_halide,Generate a cesium lead bromide halide perovskite prototype using Crystal-DB evidence and explicit SPP guidance.,CsPbBr3,CsPbBr3,halide perovskite,Pm-3m,221,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,general_phase6_mp_10k,CsPbBr3 cesium lead bromide halide perovskite evidence,true,halide_perovskite,true,,Experiment 2 harder specific intent v3,Supported ideal cubic halide-perovskite scaffold; query intent differs from Experiment 1 common-family controls.
paper_experiment_2_hard_v3,exp2v3_catio3_perovskite,Generate a calcium titanate perovskite candidate with corner-sharing TiO6 octahedra using retrieved titanate evidence.,CaTiO3,CaTiO3,perovskite,Pm-3m,221,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,general_phase6_mp_10k,calcium titanate CaTiO3 perovskite corner sharing TiO6 evidence,true,perovskite,true,,Experiment 2 harder specific intent v3,Replacement for blocked CoAs2; supported perovskite scaffold with specific octahedral-framework query intent.
paper_experiment_2_hard_v3,exp2v3_srtio3_perovskite,Generate a strontium titanate perovskite prototype using retrieved titanate evidence and explicit Sr-O Ti-O pair guidance.,SrTiO3,SrTiO3,perovskite,Pm-3m,221,cubic,prototype_orbit_variable_spp_qlip,variable_spp_scored,general_phase6_mp_10k,strontium titanate SrTiO3 perovskite Sr-O Ti-O evidence,true,perovskite,true,,Experiment 2 harder specific intent v3,Replacement for blocked Cs2HgBr4; supported perovskite scaffold with pair-guided query intent.
