repository,revision,path,size_bytes,sha256,file_type,tracked_status,runtime_import_or_use_evidence,test_use_evidence,configuration_use_evidence
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,.env.example,355,04807fbf91811d11882d9cc607b0dd5b3ee8913762863cecfe8ca80f65d11a0e,example,tracked_at_revision,,,
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,.gitattributes,68,d8fb0de4792538f93822b2c0d235604921299d5e54a3d6ec7a6cb34536e8bf1e,extensionless,tracked_at_revision,,,
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,.gitignore,577,df2ad26e506c2c3595dae5571802a12202287d073141677183e763c2117d87b3,extensionless,tracked_at_revision,,,
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,.sokllm_workspace_live/benchmarks/28b2fb0457597dfd/benchmark_report.json,4188,e3a43c81b25ef09f798ce91121a7627a476fb5e84f5ebe141b8e9207061fe739,json,tracked_at_revision,,,structured configuration/schema/resource candidate
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,.sokllm_workspace_live/benchmarks/28b2fb0457597dfd/benchmark_results.json,2566,ddf0199601ea1f1f2d41ce96472ec682b788b29ee552e7f6064e086d116cdab6,json,tracked_at_revision,,,structured configuration/schema/resource candidate
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,.sokllm_workspace_live/doctor_report.json,620,26cbf19ced5fedc5cea0d37aa520b3a932ea62546e93436b0571a765c8b3ded9,json,tracked_at_revision,,,structured configuration/schema/resource candidate
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,.sokllm_workspace_live/evals/e2e_report_live.json,1740,4043b88d7fd565e8a2ef4869974f98d5c28727ec277da692fe01f3b24716280b,json,tracked_at_revision,,,structured configuration/schema/resource candidate
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,.sokllm_workspace_live/evals/live_llm_e2e_report.json,1469,502507d1a4eeea5881ed977d66560e41272d9bd92572794d9c1a361814791b95,json,tracked_at_revision,,,structured configuration/schema/resource candidate
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,.sokllm_workspace_live/experiments/first_crystal/first-crystal-33adc2642266d98e/experiment_manifest.json,1820,52238ad72a2ec8e865e6f42de495dd3d7ce33f1e4506f982024a983aad99c5f3,json,tracked_at_revision,,,structured configuration/schema/resource candidate
Skill-Loop-CSP,b2130661b4690623877e852dc03132506aa720dd,.sokllm_workspace_live/experiments/first_crystal/first-crystal-33adc2642266d98e/first_crystal_summary.json,5330,74df7d7bce7eea413ca30c3341c8dd663d976c2d07576ecd72b1ae49ee001bda,json,tracked_at_revision,,,structured configuration/schema/resource candidate
