repository,revision,path,line,variable
CSP-LLM-Workflow-Package,206ea8ecd9acc25e813e676359929fd7ad3efc0f,examples/crystal_db/retrieval.py,11,CRYSTAL_DB_PATH
CSP-LLM-Workflow-Package,206ea8ecd9acc25e813e676359929fd7ad3efc0f,packages/crystal_db/src/crystal_db/db.py,23,CRYSTALDB_PATH
CSP-LLM-Workflow-Package,206ea8ecd9acc25e813e676359929fd7ad3efc0f,packages/crystal_db/src/crystal_db/db.py,23,CRYSTAL_DB_PATH
CSP-LLM-Workflow-Package,206ea8ecd9acc25e813e676359929fd7ad3efc0f,packages/crystal_db/src/crystal_db/mcp/server.py,109,CRYSTALDB_POLICY_MODE
CSP-LLM-Workflow-Package,206ea8ecd9acc25e813e676359929fd7ad3efc0f,packages/crystal_db/src/crystal_db/mcp/server.py,116,CRYSTALDB_CONFIG
CSP-LLM-Workflow-Package,206ea8ecd9acc25e813e676359929fd7ad3efc0f,packages/crystal_db/src/crystal_db/mcp/server.py,133,CRYSTALDB_PATH
CSP-LLM-Workflow-Package,206ea8ecd9acc25e813e676359929fd7ad3efc0f,packages/crystal_db/src/crystal_db/mcp/server.py,133,CRYSTAL_DB_PATH
CSP-LLM-Workflow-Package,206ea8ecd9acc25e813e676359929fd7ad3efc0f,packages/qlip/src/qlip/__main__.py,77,QLIP_SPP_POT_DIR
CSP-LLM-Workflow-Package,206ea8ecd9acc25e813e676359929fd7ad3efc0f,packages/qlip/src/qlip/allocation.py,342,QLIP_SOLVER
CSP-LLM-Workflow-Package,206ea8ecd9acc25e813e676359929fd7ad3efc0f,packages/qlip/src/qlip/core/paths.py,40,QLIP_ALLOWED_PATH_ROOTS
CSP-LLM-Workflow-Package,206ea8ecd9acc25e813e676359929fd7ad3efc0f,packages/qlip/src/qlip/core/solve.py,90,QLIP_SPP_REGULARISATION_DIR
CSP-LLM-Workflow-Package,206ea8ecd9acc25e813e676359929fd7ad3efc0f,packages/qlip/src/qlip/core/solve.py,90,QLIP_SPP_REGULARIZATION_DIR
CSP-LLM-Workflow-Package,206ea8ecd9acc25e813e676359929fd7ad3efc0f,packages/qlip/src/qlip/core/solve.py,351,QLIP_EXPORT_GUROBI_VISUALS
CSP-LLM-Workflow-Package,206ea8ecd9acc25e813e676359929fd7ad3efc0f,packages/qlip/src/qlip/core/solve.py,358,QLIP_GUROBI_VISUALS_DIR
CSP-LLM-Workflow-Package,206ea8ecd9acc25e813e676359929fd7ad3efc0f,packages/qlip/src/qlip/core/solve.py,843,QLIP_TRACEBACK
CSP-LLM-Workflow-Package,206ea8ecd9acc25e813e676359929fd7ad3efc0f,packages/qlip/src/qlip/data/registry.py,110,QLIP_BASE_DATA_DIR
CSP-LLM-Workflow-Package,206ea8ecd9acc25e813e676359929fd7ad3efc0f,packages/qlip/src/qlip/interactions/spp.py,16,QLIP_SPP_POT_DIR
CSP-LLM-Workflow-Package,206ea8ecd9acc25e813e676359929fd7ad3efc0f,packages/qlip/src/qlip/interactions/spp.py,255,QLIP_DEBUG_SPP
CSP-LLM-Workflow-Package,206ea8ecd9acc25e813e676359929fd7ad3efc0f,packages/qlip/src/qlip/mcp/server.py,405,QLIP_DEBUG_MCP
CSP-LLM-Workflow-Package,206ea8ecd9acc25e813e676359929fd7ad3efc0f,packages/qlip/src/qlip/mcp/server.py,679,QLIP_MCP_DUMP_ERRORS
